##  Ice:
##  Warren and Brandt 2008, JGR
##  eper is calculated from (n,k), mper is assumed to (1,0)
##  wl0_um  (re(eper),im(eper)) (re(mper),im(mper))
0.0443  (0.650104,0.269878)  (1,0)
0.0451  (0.650696,0.28545)  (1,0)
0.0459  (0.647961,0.302133)  (1,0)
0.57	(1.71689,9.0699e-09)  (1,0)
0.58	(1.7161,1.08966e-08)  (1,0)
0.59	(1.71531,1.29136e-08)  (1,0)
0.6	(1.71453,1.50057e-08)  (1,0)
0.61	(1.71374,1.80394e-08)  (1,0)
0.62	(1.71296,2.2459e-08)  (1,0)
0.63	(1.71217,2.72168e-08)  (1,0)
0.64	(1.71165,3.19225e-08)  (1,0)
0.65	(1.71086,3.74088e-08)  (1,0)
0.66	(1.71034,4.3419e-08)  (1,0)
0.67	(1.70982,4.94273e-08)  (1,0)
0.68	(1.70903,5.46451e-08)  (1,0)
0.69	(1.70851,6.27408e-08)  (1,0)
0.7	(1.70799,7.58002e-08)  (1,0)
0.71	(1.70746,8.9901e-08)  (1,0)
0.72	(1.70694,1.05304e-07)  (1,0)
0.73	(1.70616,1.12333e-07)  (1,0)
0.74	(1.70564,1.2851e-07)  (1,0)
0.75	(1.70537,1.53313e-07)  (1,0)
0.76	(1.70485,1.84887e-07)  (1,0)
0.77	(1.70433,2.24024e-07)  (1,0)
0.78	(1.70381,2.66281e-07)  (1,0)
0.79	(1.70329,3.08004e-07)  (1,0)
0.8	(1.70276,3.49713e-07)  (1,0)
0.81	(1.70224,3.65316e-07)  (1,0)
0.82	(1.70198,3.73116e-07)  (1,0)
0.83	(1.70146,3.78276e-07)  (1,0)
0.84	(1.70094,3.93868e-07)  (1,0)
0.85	(1.70042,4.77264e-07)  (1,0)
0.86	(1.70016,5.60677e-07)  (1,0)
0.87	(1.69963,6.90961e-07)  (1,0)
0.88	(1.69911,8.73345e-07)  (1,0)
0.89	(1.69859,1.02179e-06)  (1,0)
0.9	(1.69833,1.09469e-06)  (1,0)
0.91	(1.69781,1.15706e-06)  (1,0)
0.92	(1.69729,1.23505e-06)  (1,0)
0.93	(1.69703,1.33136e-06)  (1,0)
0.94	(1.69651,1.44057e-06)  (1,0)
0.95	(1.69599,1.56797e-06)  (1,0)
0.96	(1.69572,1.96632e-06)  (1,0)
0.97	(1.6952,2.4113e-06)  (1,0)
0.98	(1.69494,2.91626e-06)  (1,0)
0.99	(1.69442,3.46252e-06)  (1,0)
1	(1.6939,4.21686e-06)  (1,0)
1.01	(1.69364,5.2056e-06)  (1,0)
1.02	(1.69312,5.8554e-06)  (1,0)
1.03	(1.6926,6.06266e-06)  (1,0)
1.04	(1.69234,6.06219e-06)  (1,0)
1.05	(1.69182,5.64504e-06)  (1,0)
1.06	(1.6913,5.09796e-06)  (1,0)
1.07	(1.69078,4.70709e-06)  (1,0)
1.08	(1.69052,4.5247e-06)  (1,0)
1.09	(1.69,4.498e-06)  (1,0)
1.1	(1.68948,4.41932e-06)  (1,0)
1.11	(1.68922,4.57494e-06)  (1,0)
1.12	(1.6887,4.73018e-06)  (1,0)
1.13	(1.68818,5.30114e-06)  (1,0)
1.14	(1.68766,5.84595e-06)  (1,0)
1.15	(1.6874,5.94942e-06)  (1,0)
1.16	(1.68688,7.8967e-06)  (1,0)
1.17	(1.68636,9.97325e-06)  (1,0)
1.18	(1.68584,1.23867e-05)  (1,0)
1.19	(1.68532,1.49553e-05)  (1,0)
1.2	(1.6848,1.74192e-05)  (1,0)
1.21	(1.68454,2.24796e-05)  (1,0)
1.22	(1.68403,2.64731e-05)  (1,0)
1.23	(1.68351,2.93235e-05)  (1,0)
1.24	(1.68299,3.16541e-05)  (1,0)
1.25	(1.68247,3.34652e-05)  (1,0)
1.26	(1.68195,3.42382e-05)  (1,0)
1.27	(1.68143,3.50109e-05)  (1,0)
1.28	(1.68091,3.44869e-05)  (1,0)
1.29	(1.68039,3.42223e-05)  (1,0)
1.3	(1.67988,3.4217e-05)  (1,0)
1.31	(1.67936,3.39526e-05)  (1,0)
1.32	(1.67884,3.42065e-05)  (1,0)
1.33	(1.67832,3.42012e-05)  (1,0)
1.34	(1.6778,3.4714e-05)  (1,0)
1.35	(1.67728,3.60038e-05)  (1,0)
1.36	(1.67677,3.67752e-05)  (1,0)
1.37	(1.67599,3.83202e-05)  (1,0)
1.38	(1.67547,4.0903e-05)  (1,0)
1.39	(1.67469,4.50347e-05)  (1,0)
1.4	(1.67418,5.12384e-05)  (1,0)
1.41	(1.67366,8.90583e-05)  (1,0)
1.42	(1.67288,0.000154147)  (1,0)
1.43	(1.67211,0.000265861)  (1,0)
1.44	(1.67159,0.000392007)  (1,0)
1.449	(1.67107,0.000524836)  (1,0)
1.46	(1.6703,0.000760448)  (1,0)
1.471	(1.66952,0.00103032)  (1,0)
1.481	(1.66926,0.00127675)  (1,0)
1.493	(1.66875,0.00142925)  (1,0)
1.504	(1.66823,0.00138795)  (1,0)
1.515	(1.66771,0.00132833)  (1,0)
1.527	(1.6672,0.00126744)  (1,0)
1.538	(1.66642,0.00118608)  (1,0)
1.563	(1.66487,0.000995595)  (1,0)
1.587	(1.66333,0.000800904)  (1,0)
1.613	(1.66152,0.00068549)  (1,0)
1.65	(1.65869,0.000608146)  (1,0)
1.68	(1.65637,0.00052664)  (1,0)
1.7	(1.65457,0.000482363)  (1,0)
1.73	(1.652,0.000424149)  (1,0)
1.76	(1.64943,0.000390941)  (1,0)
1.8	(1.64558,0.000362006)  (1,0)
1.83	(1.6425,0.000333729)  (1,0)
1.84	(1.64122,0.000335648)  (1,0)
1.85	(1.64019,0.000342971)  (1,0)
1.855	(1.63968,0.00035265)  (1,0)
1.86	(1.63891,0.000366649)  (1,0)
1.87	(1.63763,0.000417694)  (1,0)
1.89	(1.63533,0.00065628)  (1,0)
1.905	(1.63328,0.0010431)  (1,0)
1.923	(1.63098,0.00180327)  (1,0)
1.942	(1.62869,0.00282806)  (1,0)
1.961	(1.62715,0.00367883)  (1,0)
1.98	(1.62562,0.0041157)  (1,0)
2	(1.62409,0.00418003)  (1,0)
2.02	(1.62205,0.00398892)  (1,0)
2.041	(1.62002,0.00371148)  (1,0)
2.062	(1.61747,0.00322274)  (1,0)
2.083	(1.61468,0.00259985)  (1,0)
2.105	(1.61138,0.00192593)  (1,0)
2.13	(1.60706,0.00133235)  (1,0)
2.15	(1.60352,0.00101937)  (1,0)
2.17	(1.59972,0.000818326)  (1,0)
2.19	(1.59593,0.000683951)  (1,0)
2.22	(1.58987,0.000561857)  (1,0)
2.24	(1.58533,0.000512957)  (1,0)
2.245	(1.58433,0.000510025)  (1,0)
2.25	(1.58307,0.000512087)  (1,0)
2.26	(1.5808,0.000522534)  (1,0)
2.27	(1.57854,0.000545529)  (1,0)
2.29	(1.57377,0.000636784)  (1,0)
2.31	(1.56876,0.000786069)  (1,0)
2.33	(1.5635,0.000964809)  (1,0)
2.35	(1.558,0.0011461)  (1,0)
2.37	(1.55227,0.0012925)  (1,0)
2.39	(1.54629,0.00139396)  (1,0)
2.41	(1.53983,0.00147816)  (1,0)
2.43	(1.53314,0.00154998)  (1,0)
2.46	(1.52202,0.00168277)  (1,0)
2.5	(1.50553,0.00184786)  (1,0)
2.52	(1.49622,0.00188006)  (1,0)
2.55	(1.48085,0.00186113)  (1,0)
2.565	(1.47258,0.0018137)  (1,0)
2.58	(1.46337,0.00178842)  (1,0)
2.59	(1.45709,0.00179544)  (1,0)
2.6	(1.45034,0.00181681)  (1,0)
2.62	(1.43592,0.00193142)  (1,0)
2.675	(1.38674,0.00321956)  (1,0)
2.725	(1.3241,0.00807331)  (1,0)
2.778	(1.22815,0.0298354)  (1,0)
2.817	(1.13466,0.0691639)  (1,0)
2.833	(1.09056,0.0955822)  (1,0)
2.849	(1.0438,0.128707)  (1,0)
2.865	(0.992893,0.170977)  (1,0)
2.882	(0.935688,0.233538)  (1,0)
2.899	(0.885949,0.323229)  (1,0)
2.915	(0.860893,0.42158)  (1,0)
2.933	(0.860461,0.534226)  (1,0)
2.95	(0.877417,0.616075)  (1,0)
2.967	(0.884798,0.695804)  (1,0)
2.985	(0.88578,0.789968)  (1,0)
3.003	(0.887677,0.910164)  (1,0)
3.021	(0.906564,1.05719)  (1,0)
3.04	(0.960735,1.2475)  (1,0)
3.058	(1.0869,1.47969)  (1,0)
3.077	(1.35574,1.65187)  (1,0)
3.096	(1.67186,1.68708)  (1,0)
3.115	(1.93942,1.60978)  (1,0)
3.135	(2.1546,1.51994)  (1,0)
3.155	(2.35856,1.39897)  (1,0)
3.175	(2.53026,1.2154)  (1,0)
3.195	(2.62492,0.98862)  (1,0)
